i=0 94.891 time 1:34, left 15:47:19
i=7 90.780 time 1:30, left 3:48:59
i=12 128.823 time 2:08, left 3:56:40
i=18 160.116 time 2:40, left 4:01:53
i=24 115.628 time 1:55, left 3:46:15
i=28 162.608 time 2:42, left 4:07:03
i=36 160.869 time 2:40, left 3:51:43
i=42 104.777 time 1:44, left 3:39:53
i=47 105.732 time 1:45, left 3:35:28
i=51 164.465 time 2:44, left 3:46:20
i=58 158.744 time 2:38, left 3:41:12
i=65 108.312 time 1:48, left 3:29:47
i=72 96.005 time 1:36, left 3:18:44
i=77 96.954 time 1:36, left 3:15:02
i=83 112.979 time 1:52, left 3:10:36
i=90 100.263 time 1:40, left 3:02:53
i=96 118.764 time 1:58, left 2:59:49
i=102 68.826 time 1:08, left 2:52:52
i=107 69.357 time 1:09, left 2:48:28
i=111 122.565 time 2:02, left 2:50:02
i=118 118.251 time 1:58, left 2:45:42
i=124 130.292 time 2:10, left 2:44:02
i=128 183.740 time 3:03, left 2:48:47
i=135 189.307 time 3:09, left 2:48:29
i=141 214.648 time 3:34, left 2:50:49
i=149 137.048 time 2:17, left 2:45:44
i=154 156.767 time 2:36, left 2:46:06
i=160 136.134 time 2:16, left 2:43:56
i=165 196.792 time 3:16, left 2:45:46
i=172 148.226 time 2:28, left 2:42:35
i=177 149.181 time 2:29, left 2:42:04
i=182 68.212 time 1:08, left 2:38:22
i=185 111.720 time 1:51, left 2:38:50
i=192 98.690 time 1:38, left 2:33:57
i=198 122.140 time 2:02, left 2:31:13
i=205 117.821 time 1:57, left 2:27:17
i=212 98.898 time 1:38, left 2:22:54
i=218 119.217 time 1:59, left 2:20:17
i=224 78.966 time 1:18, left 2:16:35
i=228 117.224 time 1:57, left 2:15:56
i=235 122.848 time 2:02, left 2:12:34
i=241 174.433 time 2:54, left 2:11:27
i=250 136.038 time 2:16, left 2:06:42
i=255 161.332 time 2:41, left 2:06:04
i=261 184.540 time 3:04, left 2:05:00
i=270 135.376 time 2:15, left 2:00:22
i=275 158.483 time 2:38, left 1:59:30
i=281 185.483 time 3:05, left 1:58:16
i=288 165.675 time 2:45, left 1:55:50
i=296 167.641 time 2:47, left 1:52:40
i=304 75.174 time 1:15, left 1:48:02
i=308 110.124 time 1:50, left 1:46:55
i=315 122.126 time 2:02, left 1:43:51
i=321 130.735 time 2:10, left 1:41:39
i=328 115.626 time 1:55, left 1:38:34
i=335 119.335 time 1:59, left 1:35:35
i=341 130.948 time 2:10, left 1:33:25
i=349 78.746 time 1:18, left 1:29:23
i=354 103.585 time 1:43, left 1:27:34
i=360 71.433 time 1:11, left 1:24:47
i=364 72.323 time 1:12, left 1:23:14
i=368 106.916 time 1:46, left 1:22:02
i=375 119.271 time 1:59, left 1:19:15
i=381 127.224 time 2:07, left 1:17:08
i=389 75.932 time 1:15, left 1:13:27
i=394 100.584 time 1:40, left 1:11:40
i=399 100.967 time 1:40, left 1:09:53
i=406 129.638 time 2:09, left 1:07:18
i=413 119.143 time 1:59, left 1:04:40
i=421 182.837 time 3:02, left 2:15:36
i=429 127.521 time 2:07, left 1:13:16
i=434 159.772 time 2:39, left 1:16:03
i=439 160.985 time 2:40, left 1:16:29
i=445 198.702 time 3:18, left 1:16:03
i=452 150.714 time 2:30, left 1:08:38
i=457 152.565 time 2:32, left 1:07:02
i=462 126.261 time 2:06, left 1:03:54
i=467 127.643 time 2:07, left 1:01:01
i=471 195.017 time 3:15, left 1:02:29
i=478 188.887 time 3:08, left 58:32
i=485 113.488 time 1:53, left 52:39
i=492 100.444 time 1:40, left 47:11
i=498 123.750 time 2:03, left 43:49
i=504 79.576 time 1:19, left 39:49
i=509 79.833 time 1:19, left 36:58
i=514 105.237 time 1:45, left 34:39
i=519 105.680 time 1:45, left 32:24
i=526 137.275 time 2:17, left 29:12
i=533 122.900 time 2:02, left 25:58
i=539 106.947 time 1:46, left 23:19
i=545 161.133 time 2:41, left 21:08
i=552 132.051 time 2:12, left 18:12
i=557 133.105 time 2:13, left 16:21
i=562 109.050 time 1:49, left 14:22
i=567 109.748 time 1:49, left 12:24
i=571 163.370 time 2:43, left 11:04
i=578 160.042 time 2:40, left 8:17
i=584 120.129 time 2:00, left 5:53
i=588 168.204 time 2:48, left 4:23
i=596 165.187 time 2:45, left 1:11
