i=0 474.692 time 7:54, left 78:59:00
i=6 722.801 time 12:02, left 28:10:44
i=15 876.456 time 14:36, left 21:01:39
i=21 776.672 time 12:56, left 20:48:13
i=27 531.510 time 8:51, left 19:11:32
i=32 706.367 time 11:46, left 19:30:47
i=37 685.161 time 11:25, left 19:36:39
i=43 691.218 time 11:31, left 19:10:56
i=50 736.726 time 12:16, left 18:32:38
i=56 1023.084 time 17:03, left 19:07:04
i=64 339.623 time 5:39, left 17:17:40
i=69 340.846 time 5:40, left 16:37:33
i=74 437.605 time 7:17, left 16:13:19
i=79 431.137 time 7:11, left 15:50:30
i=85 447.613 time 7:27, left 15:18:34
i=91 548.254 time 9:08, left 14:59:06
i=98 500.220 time 8:20, left 14:26:12
i=106 508.888 time 8:28, left 13:47:43
i=113 533.984 time 8:53, left 13:23:48
i=120 638.750 time 10:38, left 13:08:32
i=126 919.518 time 15:19, left 13:18:57
i=132 968.458 time 16:08, left 13:29:54
i=137 926.489 time 15:26, left 13:43:54
i=143 893.479 time 14:53, left 13:46:28
i=150 904.933 time 15:04, left 13:40:54
i=156 1239.409 time 20:39, left 13:57:16
i=162 694.766 time 11:34, left 13:46:34
i=168 899.525 time 14:59, left 13:44:31
i=175 1167.020 time 19:27, left 13:45:43
i=181 506.984 time 8:26, left 13:26:36
i=185 457.796 time 7:37, left 13:18:41
i=191 624.735 time 10:24, left 13:04:38
i=198 560.216 time 9:20, left 12:42:52
i=206 541.830 time 9:01, left 12:15:54
i=213 538.201 time 8:58, left 11:55:19
i=215 502.970 time 8:22, left 53:39:00
i=224 369.712 time 6:09, left 9:05:25
i=228 475.514 time 7:55, left 9:55:27
i=235 563.075 time 9:23, left 9:12:08
i=241 725.267 time 12:05, left 9:42:38
i=248 649.556 time 10:49, left 9:25:24
i=255 855.157 time 14:15, left 9:39:06
i=261 782.589 time 13:02, left 9:50:09
i=267 537.170 time 8:57, left 9:30:08
i=272 701.480 time 11:41, left 9:39:03
i=277 678.116 time 11:18, left 9:42:43
i=284 547.132 time 9:07, left 9:14:04
i=289 547.111 time 9:07, left 9:06:37
i=295 867.465 time 14:27, left 9:10:35
i=301 496.979 time 8:16, left 8:50:52
i=305 450.316 time 7:30, left 8:44:58
i=311 609.702 time 10:09, left 8:32:37
i=318 547.127 time 9:07, left 8:11:08
i=326 532.111 time 8:52, left 7:44:41
i=333 527.451 time 8:47, left 7:25:47
i=340 362.408 time 6:02, left 7:02:21
i=344 365.894 time 6:05, left 6:55:00
i=349 366.135 time 6:06, left 6:43:05
i=355 556.097 time 9:16, left 6:32:43
i=361 474.041 time 7:54, left 6:20:13
i=367 336.547 time 5:36, left 6:04:36
i=372 446.324 time 7:26, left 5:56:08
i=377 427.206 time 7:07, left 5:47:18
i=383 443.436 time 7:23, left 5:35:22
i=390 421.009 time 7:01, left 5:19:56
i=396 539.159 time 8:59, left 5:10:31
i=402 343.666 time 5:43, left 4:57:44
i=408 445.174 time 7:25, left 4:47:02
i=414 436.889 time 7:16, left 4:36:25
i=420 634.831 time 10:34, left 4:28:51
i=426 913.034 time 15:13, left 4:24:54
i=432 958.977 time 15:58, left 4:20:55
i=437 912.243 time 15:12, left 4:18:29
i=443 888.170 time 14:48, left 4:12:28
i=450 880.511 time 14:40, left 4:03:15
i=456 1184.791 time 19:44, left 3:59:20
i=462 693.400 time 11:33, left 3:50:08
i=468 892.467 time 14:52, left 3:42:31
i=471 1249.990 time 20:49, left 44:26:38
i=482 350.448 time 5:50, left 4:20:04
i=484 356.925 time 5:56, left 4:27:58
i=488 454.882 time 7:34, left 4:07:55
i=495 559.636 time 9:19, left 3:26:03
i=501 536.423 time 8:56, left 3:04:50
i=507 361.138 time 6:01, left 2:40:21
i=512 460.945 time 7:40, left 2:29:30
i=517 446.946 time 7:26, left 2:18:54
i=523 477.074 time 7:57, left 2:05:34
i=530 476.703 time 7:56, left 1:49:50
i=536 622.621 time 10:22, left 1:41:04
i=542 511.513 time 8:31, left 1:30:34
i=547 519.724 time 8:39, left 1:23:07
i=553 868.930 time 14:28, left 1:16:14
i=560 532.707 time 8:52, left 1:03:27
i=564 543.268 time 9:03, left 57:53
i=569 542.894 time 9:02, left 49:51
i=574 672.234 time 11:12, left 42:14
i=579 667.843 time 11:07, left 34:17
i=585 689.507 time 11:29, left 24:08
i=591 992.041 time 16:32, left 14:12
i=598 765.335 time 12:45, left 1:46
