i=4 425.354 time 7:05, left 14:03:37
i=8 501.715 time 8:21, left 16:54:37
i=14 879.676 time 14:39, left 19:34:23
i=19 872.993 time 14:32, left 21:35:12
i=27 488.578 time 8:08, left 17:58:44
i=31 850.077 time 14:10, left 19:48:46
i=38 806.841 time 13:26, left 19:16:49
i=45 626.414 time 10:26, left 18:14:16
i=52 775.739 time 12:55, left 17:51:11
i=57 758.413 time 12:38, left 18:08:01
i=64 301.858 time 5:01, left 16:39:43
i=68 340.436 time 5:40, left 16:18:23
i=75 575.306 time 9:35, left 15:42:40
i=81 387.420 time 6:27, left 15:04:28
i=86 412.814 time 6:52, left 14:44:50
i=93 502.518 time 8:22, left 14:12:51
i=99 454.974 time 7:34, left 13:50:05
i=106 414.932 time 6:54, left 13:16:47
i=112 479.973 time 7:59, left 12:59:46
i=117 471.774 time 7:51, left 12:51:11
i=122 474.903 time 7:54, left 12:42:51
i=128 575.489 time 9:35, left 12:33:14
i=134 920.190 time 15:20, left 12:43:25
i=140 583.973 time 9:43, left 12:33:11
i=143 631.283 time 10:31, left 12:45:59
i=149 571.778 time 9:31, left 12:34:16
i=155 915.191 time 15:15, left 12:39:00
i=161 685.909 time 11:25, left 12:31:55
i=167 537.756 time 8:57, left 12:18:10
i=172 813.748 time 13:33, left 12:22:01
i=177 802.388 time 13:22, left 12:24:26
i=183 380.827 time 6:20, left 12:04:16
i=188 379.612 time 6:19, left 11:50:24
i=195 667.949 time 11:07, left 11:36:18
i=201 448.269 time 7:28, left 11:20:18
i=206 475.394 time 7:55, left 11:10:34
i=213 579.694 time 9:39, left 10:54:31
i=219 525.906 time 8:45, left 10:41:54
i=226 479.411 time 7:59, left 10:23:47
i=233 626.687 time 10:26, left 15:55:41
i=239 611.175 time 10:11, left 12:22:43
i=244 457.735 time 7:37, left 11:08:49
i=251 1055.245 time 17:35, left 12:05:13
i=258 985.578 time 16:25, left 12:12:15
i=265 640.734 time 10:40, left 11:16:50
i=272 673.724 time 11:13, left 10:40:10
i=277 659.844 time 10:59, left 10:38:29
i=282 494.355 time 8:14, left 10:18:33
i=288 590.819 time 9:50, left 9:57:02
i=294 869.708 time 14:29, left 9:59:29
i=299 863.391 time 14:23, left 10:09:12
i=307 313.897 time 5:13, left 9:11:44
i=313 617.301 time 10:17, left 8:56:49
i=319 598.685 time 9:58, left 8:41:34
i=327 359.192 time 5:59, left 8:01:55
i=331 558.545 time 9:18, left 8:00:40
i=338 547.464 time 9:07, left 7:39:54
i=344 378.044 time 6:18, left 7:19:51
i=350 588.022 time 9:48, left 7:08:22
i=356 644.751 time 10:44, left 6:58:52
i=364 304.442 time 5:04, left 6:29:54
i=370 529.514 time 8:49, left 6:18:07
i=376 590.186 time 9:50, left 6:08:06
i=384 340.551 time 5:40, left 5:44:27
i=389 341.376 time 5:41, left 5:33:23
i=395 525.688 time 8:45, left 5:22:55
i=401 389.182 time 6:29, left 5:09:57
i=407 321.704 time 5:21, left 4:56:13
i=412 479.668 time 7:59, left 4:48:47
i=417 472.478 time 7:52, left 4:41:13
i=422 489.389 time 8:09, left 4:33:53
i=428 591.370 time 9:51, left 4:25:05
i=434 937.694 time 15:37, left 4:20:53
i=440 593.221 time 9:53, left 4:11:42
i=443 641.644 time 10:41, left 4:11:17
i=450 780.638 time 13:00, left 4:01:10
i=456 965.536 time 16:05, left 3:55:29
i=463 643.518 time 10:43, left 3:43:29
i=469 580.497 time 9:40, left 3:33:32
i=475 1004.917 time 16:44, left 6:55:21
i=480 328.463 time 5:28, left 4:24:27
i=483 381.125 time 6:21, left 4:14:58
i=488 379.147 time 6:19, left 3:35:10
i=494 627.799 time 10:27, left 3:18:26
i=500 395.877 time 6:35, left 2:51:27
i=503 422.446 time 7:02, left 2:51:37
i=510 530.661 time 8:50, left 2:30:56
i=516 601.926 time 10:01, left 2:20:30
i=523 426.551 time 7:06, left 2:01:51
i=529 385.147 time 6:25, left 1:48:26
i=535 664.700 time 11:04, left 1:40:54
i=541 578.793 time 9:38, left 1:31:35
i=547 430.749 time 7:10, left 1:20:34
i=552 828.403 time 13:48, left 1:16:17
i=557 809.223 time 13:29, left 1:10:46
i=562 491.330 time 8:11, left 1:02:15
i=568 573.295 time 9:33, left 51:59
i=574 736.716 time 12:16, left 42:27
i=580 525.821 time 8:45, left 32:01
i=584 513.610 time 8:33, left 25:31
i=590 856.714 time 14:16, left 15:37
i=596 970.772 time 16:10, left 5:20
