15 misere(5,1) 3.280 2
21 misere(1,2) 3.330 2
73 misere(3,7) 3.370 5
33 misere(3,3) 3.380 4
66 misere(6,6) 3.390 0
361 misere(1,36) 3.400 1
71 misere(1,7) 3.400 1
346 misere(6,34) 3.400 5
231 misere(1,23) 3.410 5
38 misere(8,3) 3.410 3
55 misere(5,5) 3.410 5
17 misere(7,1) 3.410 1
16 misere(6,1) 3.420 4
113 misere(3,11) 3.420 0
10 misere(0,1) 3.430 4
98 misere(8,9) 3.430 3
75 misere(5,7) 3.430 4
316 misere(6,31) 3.430 0
93 misere(3,9) 3.430 4
325 misere(5,32) 3.430 1
61 misere(1,6) 3.440 0
323 misere(3,32) 3.440 5
345 misere(5,34) 3.450 0
221 misere(1,22) 3.450 1
196 misere(6,19) 3.450 5
9 misere(9,0) 3.450 2
333 misere(3,33) 3.460 0
306 misere(6,30) 3.460 5
26 misere(6,2) 3.470 0
23 misere(3,2) 3.470 1
91 misere(1,9) 3.470 0
335 misere(5,33) 3.470 5
185 misere(5,18) 3.470 2
370 misere(0,37) 3.470 5
88 misere(8,8) 3.480 2
101 misere(1,10) 3.480 5
85 misere(5,8) 3.480 5
300 misere(0,30) 3.480 5
58 misere(8,5) 3.480 2
64 misere(4,6) 3.480 2
103 misere(3,10) 3.490 0
381 misere(1,38) 3.490 5
20 misere(0,2) 3.490 0
351 misere(1,35) 3.490 0
233 misere(3,23) 3.500 1
183 misere(3,18) 3.500 0
310 misere(0,31) 3.500 0
12 misere(2,1) 3.500 5
97 misere(7,9) 3.500 5
94 misere(4,9) 3.500 2
216 misere(6,21) 3.500 1
368 misere(8,36) 3.500 0
82 misere(2,8) 3.500 2
39 misere(9,3) 3.510 4
48 misere(8,4) 3.510 0
80 misere(0,8) 3.510 3
338 misere(8,33) 3.510 2
109 misere(9,10) 3.510 1
67 misere(7,6) 3.510 5
116 misere(6,11) 3.510 3
331 misere(1,33) 3.510 1
366 misere(6,36) 3.520 4
8 misere(8,0) 3.520 5
115 misere(5,11) 3.520 1
22 misere(2,2) 3.520 4
30 misere(0,3) 3.520 0
145 misere(5,14) 3.520 1
31 misere(1,3) 3.520 5
225 misere(5,22) 3.520 5
188 misere(8,18) 3.520 0
192 misere(2,19) 3.520 5
218 misere(8,21) 3.520 0
119 misere(9,11) 3.530 0
341 misere(1,34) 3.530 3
296 misere(6,29) 3.530 2
186 misere(6,18) 3.540 5
1 misere(1,0) 3.540 3
281 misere(1,28) 3.540 0
364 misere(4,36) 3.540 5
213 misere(3,21) 3.540 5
318 misere(8,31) 3.540 4
307 misere(7,30) 3.540 1
108 misere(8,10) 3.540 0
263 misere(3,26) 3.540 0
50 misere(0,5) 3.540 3
138 misere(8,13) 3.550 5
304 misere(4,30) 3.550 0
313 misere(3,31) 3.550 1
319 misere(9,31) 3.550 1
28 misere(8,2) 3.550 4
290 misere(0,29) 3.550 2
352 misere(2,35) 3.550 5
212 misere(2,21) 3.550 0
235 misere(5,23) 3.550 0
126 misere(6,12) 3.550 5
37 misere(7,3) 3.560 5
106 misere(6,10) 3.560 2
353 misere(3,35) 3.560 3
327 misere(7,32) 3.560 0
68 misere(8,6) 3.560 3
356 misere(6,35) 3.560 0
298 misere(8,29) 3.560 0
265 misere(5,26) 3.560 5
52 misere(2,5) 3.560 2
248 misere(8,24) 3.560 5
246 misere(6,24) 3.560 0
227 misere(7,22) 3.560 1
302 misere(2,30) 3.570 1
19 misere(9,1) 3.570 3
41 misere(1,4) 3.570 1
236 misere(6,23) 3.570 5
358 misere(8,35) 3.570 5
223 misere(3,22) 3.570 0
385 misere(5,38) 3.570 0
110 misere(0,11) 3.570 3
339 misere(9,33) 3.580 0
219 misere(9,21) 3.580 5
357 misere(7,35) 3.580 2
111 misere(1,11) 3.580 4
208 misere(8,20) 3.580 4
13 misere(3,1) 3.580 3
56 misere(6,5) 3.580 3
155 misere(5,15) 3.590 0
386 misere(6,38) 3.590 5
349 misere(9,34) 3.590 1
130 misere(0,13) 3.590 2
11 misere(1,1) 3.590 1
143 misere(3,14) 3.590 0
86 misere(6,8) 3.590 3
78 misere(8,7) 3.600 0
193 misere(3,19) 3.600 3
194 misere(4,19) 3.600 0
284 misere(4,28) 3.600 2
72 misere(2,7) 3.600 0
121 misere(1,12) 3.600 1
120 misere(0,12) 3.600 5
90 misere(0,9) 3.600 5
411 misere(1,41) 3.600 2
229 misere(9,22) 3.600 0
329 misere(9,32) 3.600 5
276 misere(6,27) 3.610 5
321 misere(1,32) 3.610 0
36 misere(6,3) 3.610 0
200 misere(0,20) 3.610 0
201 misere(1,20) 3.610 5
83 misere(3,8) 3.610 1
114 misere(4,11) 3.610 5
344 misere(4,34) 3.610 2
311 misere(1,31) 3.620 5
166 misere(6,16) 3.620 0
100 misere(0,10) 3.620 2
294 misere(4,29) 3.620 5
105 misere(5,10) 3.620 4
125 misere(5,12) 3.620 0
205 misere(5,20) 3.620 3
238 misere(8,23) 3.620 4
211 misere(1,21) 3.620 3
84 misere(4,8) 3.620 0
149 misere(9,14) 3.620 0
43 misere(3,4) 3.620 5
240 misere(0,24) 3.630 0
3 misere(3,0) 3.630 5
396 misere(6,39) 3.630 5
362 misere(2,36) 3.630 0
150 misere(0,15) 3.630 5
136 misere(6,13) 3.630 2
0 misere(0,0) 3.630 0
7 misere(7,0) 3.640 0
14 misere(4,1) 3.640 0
63 misere(3,6) 3.640 4
46 misere(6,4) 3.640 2
374 misere(4,37) 3.640 1
42 misere(2,4) 3.640 0
53 misere(3,5) 3.640 1
270 misere(0,27) 3.640 5
175 misere(5,17) 3.640 3
34 misere(4,3) 3.640 2
314 misere(4,31) 3.640 2
96 misere(6,9) 3.650 0
47 misere(7,4) 3.650 1
118 misere(8,11) 3.650 2
153 misere(3,15) 3.650 4
371 misere(1,37) 3.650 3
51 misere(1,5) 3.650 4
131 misere(1,13) 3.650 0
277 misere(7,27) 3.650 1
6 misere(6,0) 3.650 3
107 misere(7,10) 3.660 5
62 misere(2,6) 3.660 3
102 misere(2,10) 3.660 1
359 misere(9,35) 3.660 3
260 misere(0,26) 3.660 2
269 misere(9,26) 3.670 0
375 misere(5,37) 3.670 5
293 misere(3,29) 3.670 4
87 misere(7,8) 3.670 4
60 misere(0,6) 3.670 5
18 misere(8,1) 3.670 5
395 misere(5,39) 3.670 0
405 misere(5,40) 3.670 2
257 misere(7,25) 3.670 0
57 misere(7,5) 3.670 4
254 misere(4,25) 3.680 2
44 misere(4,4) 3.680 3
49 misere(9,4) 3.680 5
198 misere(8,19) 3.680 2
282 misere(2,28) 3.680 5
242 misere(2,24) 3.680 5
252 misere(2,25) 3.680 1
76 misere(6,7) 3.680 2
206 misere(6,20) 3.690 0
259 misere(9,25) 3.690 5
59 misere(9,5) 3.690 1
187 misere(7,18) 3.690 3
