i=3 135.320 time 2:15, left 5:36:02
i=9 103.687 time 1:43, left 3:55:01
i=14 138.456 time 2:18, left 4:05:21
i=19 138.807 time 2:18, left 4:09:31
i=26 185.262 time 3:05, left 4:08:08
i=33 156.887 time 2:36, left 3:58:10
i=40 114.690 time 1:54, left 3:41:07
i=45 165.049 time 2:45, left 3:48:27
i=52 129.597 time 2:09, left 3:38:04
i=57 130.210 time 2:10, left 3:37:43
i=62 66.222 time 1:06, left 3:28:00
i=66 122.321 time 2:02, left 3:30:21
i=74 101.988 time 1:41, left 3:16:59
i=79 102.401 time 1:42, left 3:14:00
i=86 129.940 time 2:09, left 3:08:46
i=93 116.193 time 1:56, left 3:02:45
i=100 75.914 time 1:15, left 2:53:59
i=105 115.734 time 1:55, left 2:53:06
i=112 96.668 time 1:36, left 2:47:01
i=117 97.213 time 1:37, left 2:44:55
i=122 118.228 time 1:58, left 2:44:13
i=127 119.594 time 1:59, left 2:43:30
i=131 193.544 time 3:13, left 2:48:38
i=138 188.728 time 3:08, left 2:48:11
i=145 196.049 time 3:16, left 2:47:51
i=152 149.363 time 2:29, left 2:44:58
i=157 151.090 time 2:31, left 2:45:00
i=162 124.072 time 2:04, left 2:43:41
i=167 125.156 time 2:05, left 2:42:21
i=171 194.315 time 3:14, left 2:45:10
i=178 188.370 time 3:08, left 2:43:30
i=186 126.448 time 2:06, left 2:38:11
i=194 104.856 time 1:44, left 2:32:23
i=199 105.356 time 1:45, left 2:30:15
i=206 133.590 time 2:13, left 2:26:51
i=214 103.849 time 1:43, left 2:21:37
i=219 104.385 time 1:44, left 2:19:36
i=226 134.511 time 2:14, left 2:16:29
i=233 121.209 time 2:01, left 2:13:05
i=239 105.126 time 1:45, left 2:10:15
i=245 158.401 time 2:38, left 2:08:45
i=252 129.718 time 2:09, left 2:05:41
i=257 131.271 time 2:11, left 2:04:22
i=262 107.948 time 1:47, left 2:02:32
i=267 108.123 time 1:48, left 2:00:41
i=271 159.908 time 2:39, left 2:00:42
i=278 157.767 time 2:37, left 1:58:11
i=284 119.048 time 1:59, left 1:55:43
i=289 118.962 time 1:58, left 1:54:03
i=294 137.400 time 2:17, left 1:52:40
i=300 74.343 time 1:14, left 1:49:29
i=303 110.330 time 1:50, left 1:49:06
i=310 103.590 time 1:43, left 1:45:44
i=316 127.560 time 2:07, left 1:43:28
i=322 70.914 time 1:10, left 1:40:25
i=327 71.270 time 1:11, left 1:38:05
i=331 120.390 time 2:00, left 1:37:06
i=338 118.824 time 1:58, left 1:34:08
i=345 118.725 time 1:58, left 1:31:12
i=352 98.372 time 1:38, left 1:28:05
i=357 99.021 time 1:39, left 1:26:12
i=363 107.444 time 1:47, left 1:23:51
i=369 73.011 time 1:13, left 1:21:08
i=374 101.825 time 1:41, left 1:19:20
i=379 102.626 time 1:42, left 1:17:33
i=386 129.586 time 2:09, left 1:14:54
i=393 115.990 time 1:55, left 1:12:10
i=400 75.629 time 1:15, left 1:09:07
i=405 115.429 time 1:55, left 1:07:29
i=412 98.315 time 1:38, left 1:04:41
i=417 98.477 time 1:38, left 1:02:55
i=420 114.218 time 1:54, left 1:53:35
i=427 112.382 time 1:52, left 1:04:57
i=431 195.708 time 3:15, left 1:24:27
i=437 151.902 time 2:31, left 1:17:31
i=443 197.954 time 3:17, left 1:17:12
i=450 159.323 time 2:39, left 1:10:05
i=455 191.068 time 3:11, left 1:10:53
i=461 221.666 time 3:41, left 1:10:15
i=470 159.210 time 2:39, left 1:00:59
i=475 192.766 time 3:12, left 1:00:26
i=481 127.635 time 2:07, left 56:02
i=489 77.444 time 1:17, left 48:24
i=493 125.004 time 2:05, left 47:06
i=500 80.027 time 1:20, left 41:52
i=505 120.682 time 2:00, left 39:38
i=512 101.362 time 1:41, left 35:32
i=517 102.113 time 1:42, left 33:12
i=522 72.911 time 1:12, left 30:35
i=527 73.372 time 1:13, left 28:06
i=532 100.895 time 1:40, left 26:00
i=537 101.438 time 1:41, left 23:55
i=542 105.562 time 1:45, left 21:55
i=547 107.149 time 1:47, left 19:56
i=551 171.770 time 2:51, left 18:53
i=558 165.001 time 2:45, left 16:07
i=565 172.080 time 2:52, left 13:24
i=572 135.007 time 2:15, left 10:33
i=577 135.333 time 2:15, left 8:38
i=582 111.092 time 1:51, left 6:39
i=587 111.561 time 1:51, left 4:41
i=592 132.842 time 2:12, left 2:45
i=597 129.109 time 2:09, left 0:47
