i=0 11.054 time 0:11, left 1:50:21
i=10 10.903 time 0:10, left 19:35
i=15 10.954 time 0:10, left 20:01
i=20 11.321 time 0:11, left 20:19
i=27 11.646 time 0:11, left 19:01
i=34 11.635 time 0:11, left 18:09
i=40 11.685 time 0:11, left 17:59
i=46 11.529 time 0:11, left 17:47
i=52 11.816 time 0:11, left 17:38
i=58 11.639 time 0:11, left 17:26
i=64 11.953 time 0:11, left 17:18
i=70 11.691 time 0:11, left 17:06
i=76 11.854 time 0:11, left 16:56
i=82 12.073 time 0:12, left 16:47
i=88 11.554 time 0:11, left 16:35
i=94 11.925 time 0:11, left 16:24
i=100 11.991 time 0:11, left 16:14
i=106 11.862 time 0:11, left 16:03
i=112 12.110 time 0:12, left 15:53
i=118 11.892 time 0:11, left 15:42
i=124 12.386 time 0:12, left 15:32
i=129 12.342 time 0:12, left 15:32
i=135 12.033 time 0:12, left 15:20
i=141 12.028 time 0:12, left 15:09
i=147 12.738 time 0:12, left 14:59
i=154 13.055 time 0:13, left 14:43
i=160 13.225 time 0:13, left 14:34
i=166 13.057 time 0:13, left 14:25
i=172 13.306 time 0:13, left 14:17
i=178 13.092 time 0:13, left 14:07
i=184 13.220 time 0:13, left 13:58
i=190 13.013 time 0:13, left 13:47
i=196 13.032 time 0:13, left 13:37
i=202 13.256 time 0:13, left 13:27
i=208 12.794 time 0:12, left 13:16
i=214 13.056 time 0:13, left 13:05
i=220 13.161 time 0:13, left 12:54
i=226 12.830 time 0:12, left 12:43
i=232 13.242 time 0:13, left 12:32
i=238 12.804 time 0:12, left 12:21
i=244 13.191 time 0:13, left 12:10
i=251 13.002 time 0:13, left 11:53
i=257 13.275 time 0:13, left 11:42
i=263 12.731 time 0:12, left 11:31
i=268 12.736 time 0:12, left 11:23
i=274 13.089 time 0:13, left 11:12
i=280 13.104 time 0:13, left 11:00
i=286 12.879 time 0:12, left 10:48
i=292 13.421 time 0:13, left 10:37
i=298 12.901 time 0:12, left 10:25
i=304 13.089 time 0:13, left 10:13
i=310 12.693 time 0:12, left 10:01
i=316 12.840 time 0:12, left 9:48
i=322 13.099 time 0:13, left 9:36
i=328 12.504 time 0:12, left 9:24
i=334 12.823 time 0:12, left 9:12
i=340 13.025 time 0:13, left 9:00
i=346 12.625 time 0:12, left 8:47
i=352 12.889 time 0:12, left 8:35
i=358 12.665 time 0:12, left 8:23
i=364 13.115 time 0:13, left 8:10
i=370 12.758 time 0:12, left 7:58
i=376 12.989 time 0:12, left 7:46
i=382 13.187 time 0:13, left 7:34
i=388 12.589 time 0:12, left 7:21
i=393 12.786 time 0:12, left 7:12
i=399 12.939 time 0:12, left 6:59
i=405 12.604 time 0:12, left 6:47
i=411 12.852 time 0:12, left 6:34
i=417 13.104 time 0:13, left 6:22
i=423 12.743 time 0:12, left 6:09
i=428 12.727 time 0:12, left 6:00
i=434 13.084 time 0:13, left 5:47
i=440 13.057 time 0:13, left 5:35
i=446 12.881 time 0:12, left 5:22
i=452 13.257 time 0:13, left 5:10
i=458 12.974 time 0:12, left 4:57
i=464 13.342 time 0:13, left 4:45
i=470 12.974 time 0:12, left 4:32
i=476 13.050 time 0:13, left 4:20
i=482 13.169 time 0:13, left 4:07
i=488 12.561 time 0:12, left 3:54
i=494 12.970 time 0:12, left 3:42
i=500 12.936 time 0:12, left 3:29
i=506 12.705 time 0:12, left 3:16
i=512 13.109 time 0:13, left 3:04
i=518 12.882 time 0:12, left 2:51
i=524 13.189 time 0:13, left 2:38
i=530 12.753 time 0:12, left 2:26
i=536 12.926 time 0:12, left 2:13
i=542 13.235 time 0:13, left 2:00
i=548 12.720 time 0:12, left 1:48
i=553 13.365 time 0:13, left 1:37
i=559 13.169 time 0:13, left 1:25
i=565 12.961 time 0:12, left 1:12
i=571 13.333 time 0:13, left 0:59
i=577 13.344 time 0:13, left 0:46
i=583 12.953 time 0:12, left 0:34
i=589 13.434 time 0:13, left 0:21
i=595 12.987 time 0:12, left 0:08
