i=4 95.854 time 1:35, left 3:10:06
i=8 143.132 time 2:23, left 4:21:33
i=13 159.913 time 2:39, left 4:38:16
i=20 115.013 time 1:55, left 3:56:09
i=25 165.012 time 2:45, left 4:09:48
i=32 130.614 time 2:10, left 3:51:49
i=38 156.915 time 2:36, left 3:51:42
i=44 115.893 time 1:55, left 3:42:28
i=48 164.140 time 2:44, left 3:53:36
i=56 167.803 time 2:47, left 3:44:32
i=64 72.881 time 1:12, left 3:24:00
i=68 107.442 time 1:47, left 3:24:31
i=75 120.279 time 2:00, left 3:17:03
i=81 127.747 time 2:07, left 3:14:00
i=88 113.532 time 1:53, left 3:07:11
i=95 117.782 time 1:57, left 3:01:28
i=101 128.993 time 2:08, left 2:59:15
i=109 76.866 time 1:16, left 2:49:15
i=114 102.120 time 1:42, left 2:47:25
i=119 102.731 time 1:42, left 2:45:38
i=125 186.053 time 3:06, left 2:47:26
i=132 148.415 time 2:28, left 2:44:58
i=137 150.373 time 2:30, left 2:45:41
i=142 123.911 time 2:03, left 2:44:45
i=147 124.502 time 2:04, left 2:43:47
i=151 186.768 time 3:06, left 2:47:14
i=158 185.438 time 3:05, left 2:45:57
i=164 137.945 time 2:17, left 2:43:48
i=168 195.944 time 3:15, left 2:46:47
i=176 196.114 time 3:16, left 2:44:06
i=184 75.372 time 1:15, left 2:36:51
i=188 110.891 time 1:50, left 2:36:04
i=195 123.713 time 2:03, left 2:32:11
i=201 131.882 time 2:11, left 2:29:48
i=208 116.534 time 1:56, left 2:25:52
i=215 120.775 time 2:00, left 2:22:12
i=221 132.743 time 2:12, left 2:19:57
i=229 79.522 time 1:19, left 2:14:22
i=234 104.637 time 1:44, left 2:12:26
i=240 111.366 time 1:51, left 2:09:47
i=246 177.514 time 2:57, left 2:08:44
i=253 159.323 time 2:39, left 2:06:19
i=259 138.619 time 2:18, left 2:04:17
i=266 187.481 time 3:07, left 2:02:26
i=273 156.870 time 2:36, left 1:59:55
i=279 137.343 time 2:17, left 1:57:48
i=286 189.073 time 3:09, left 1:55:51
i=293 158.993 time 2:38, left 1:53:19
i=299 138.364 time 2:18, left 1:51:11
i=306 125.874 time 2:05, left 1:48:07
i=314 104.371 time 1:44, left 1:44:04
i=319 104.389 time 1:44, left 1:42:10
i=326 133.136 time 2:13, left 1:39:20
i=333 118.413 time 1:58, left 1:36:19
i=340 78.226 time 1:18, left 1:32:51
i=344 78.908 time 1:18, left 1:31:20
i=348 117.226 time 1:57, left 1:30:16
i=355 122.900 time 2:02, left 1:27:26
i=361 121.403 time 2:01, left 1:25:12
i=370 101.271 time 1:41, left 1:21:02
i=376 125.162 time 2:05, left 1:18:53
i=382 68.961 time 1:08, left 1:16:13
i=387 69.149 time 1:09, left 1:14:07
i=391 117.540 time 1:57, left 1:13:01
i=398 116.474 time 1:56, left 1:10:18
i=404 76.449 time 1:16, left 1:07:48
i=408 115.574 time 1:55, left 1:06:40
i=416 126.640 time 2:06, left 1:03:35
i=418 105.324 time 1:45, left 5:17:43
i=425 172.815 time 2:52, left 1:40:49
i=432 151.992 time 2:31, left 1:19:48
i=438 192.172 time 3:12, left 1:19:30
i=444 140.519 time 2:20, left 1:12:59
i=449 141.415 time 2:21, left 1:10:38
i=454 159.944 time 2:39, left 1:09:30
i=460 140.326 time 2:20, left 1:04:53
i=465 201.106 time 3:21, left 1:05:24
i=472 150.113 time 2:30, left 59:52
i=477 151.785 time 2:31, left 57:51
i=482 69.846 time 1:09, left 53:19
i=486 129.081 time 2:09, left 52:02
i=494 107.234 time 1:47, left 45:45
i=499 107.738 time 1:47, left 43:07
i=506 136.157 time 2:16, left 39:19
i=513 120.767 time 2:00, left 35:30
i=520 79.914 time 1:19, left 31:25
i=525 120.741 time 2:00, left 29:27
i=531 129.014 time 2:09, left 26:55
i=538 124.315 time 2:04, left 23:47
i=544 115.844 time 1:55, left 21:16
i=548 161.692 time 2:41, left 20:10
i=556 173.322 time 2:53, left 16:55
i=563 167.439 time 2:47, left 14:10
i=569 122.298 time 2:02, left 11:45
i=574 140.102 time 2:20, left 9:51
i=580 120.655 time 2:00, left 7:26
i=586 193.025 time 3:13, left 5:09
i=593 162.492 time 2:42, left 2:22
i=599 120.382 time 2:00, left 0:00
